Feature,Coefficient,Absolute_Coefficient
HR_min,1.857233798416431,1.857233798416431
HR_max,-1.0340560863893467,1.0340560863893467
HR_mean,-0.7160892190389877,0.7160892190389877
ICULOS_max,0.6220888447621964,0.6220888447621964
Age_first,-0.530207908646037,0.530207908646037
Gender_first,-0.4358210847575575,0.4358210847575575
SBP_mean,0.3398268038736544,0.3398268038736544
Temp_mean,0.31863763266727857,0.31863763266727857
Resp_max,-0.2893338847235477,0.2893338847235477
MAP_mean,-0.2889314500657393,0.2889314500657393
O2Sat_mean,-0.2088950708836057,0.2088950708836057
O2Sat_min,-0.18347706308112918,0.18347706308112918
MAP_min,-0.11169705300716443,0.11169705300716443
Temp_max,0.08411662660897985,0.08411662660897985
SBP_min,-0.015246998382709898,0.015246998382709898
Resp_mean,0.002514078248373014,0.002514078248373014
